species,group,length,AR,wload,back,belly,ftype,sim,billcol,legcol,arrives,leaves,eggs,incub,ccare,diver,long-billed,webbed-feet,long-legs,wading-bird,plunge-dives,BMI,WSI,family, forest-edges, harbours,archipelago,coastal-meadows,fells,fields,forest-edges,forests,islets,lakes,marshland,meadows,nutrient-rich-lakes,pastures,ponds,reedbeds,sea-bays,sea-coast,shores,shrub-tundra,streams,wetlands,algae,berries,birds,carrion,chicks,clams,eggs,fish,frogs,garbage,grain,grass,hares,insects,invertebrates,larvae,lizards,molluscs,plants,rodents,seeds,shellfish,small-rodents,snails,snakes,squirrels,vertebrae,worms
naurulokki,laridae,avg length,large AR,small wload,light grey back,white belly,B,similar-looking genders,red billcol,red legcol,early migration arrival,early migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,skinny,long-winged,lari,,,,,,,,,,lives in lakes,,,,,,,lives in sea-bays,,,,,,,,,,,,,eats fish,,eats garbage,,,,,eats invertebrates,,,,,,,,,,,,,
harmaalokki,laridae,long,large AR,avg wload,bluish grey back,white belly,B,similar-looking genders,yellow billcol,reddish legcol,early migration arrival,late migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,average BMI,long-winged,lari,,,,,,,,,,lives in lakes,lives in marshland,,,,,,,lives in sea-coast,,,,,,,,,eats chicks,,,eats fish,,eats garbage,eats grain,,,,,,,,,,,,,,,,,
isolokki,laridae,long,large AR,avg wload,bluish grey back,white belly,B,similar-looking genders,yellow billcol,reddish legcol,early migration arrival,early migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,robust,long-winged,lari,,lives in  harbours,,,,,,,,,,,,,,,,lives in sea-coast,,,,,,,,eats carrion,eats chicks,,eats eggs,eats fish,,eats garbage,,,,,,,,,,,,,,,,,,
kalatiira,sternidae,avg length,large AR,small wload,grey back,white belly,B,similar-looking genders,red billcol,red legcol,average migration arrival,average migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,skinny,average-winged,lari,,,lives in archipelago,,,,,,,lives in lakes,,,,,,,,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,,,,,,,
lapintiira,sternidae,avg length,large AR,small wload,grey back,white belly,B,similar-looking genders,red billcol,red legcol,average migration arrival,early migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,skinny,long-winged,lari,,,lives in archipelago,,,,,,,lives in lakes,lives in marshland,,,,,,,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,,,,,,,
suokukko,scolopacidae,short,avg AR,small wload,dappled brown back,white belly,C,different-looking genders,dark-brown billcol,orange legcol,average migration arrival,early migration leaving,avg egg layage,F incub,F ccare,,,,long-legs,wading-bird,,skinny,average-winged,charadrii,,,,,,,,,,,lives in marshland,,,,,,,,,,,lives in wetlands,,,,,,,,,,,,,,,eats invertebrates,,,,,,eats seeds,,,,,,,
taivaanvuohi,scolopacidae,short,small AR,avg wload,dappled brown back,white belly,C,similar-looking genders,reddish-brown billcol,greenish-grey legcol,average migration arrival,average migration leaving,avg egg layage,F incub,F ccare,,long-billed,,,wading-bird,,skinny,short-winged,charadrii,,,,lives in coastal-meadows,,,,,,,lives in marshland,,,,,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,,,,,
lehtokurppa,scolopacidae,avg length,small AR,avg wload,dappled brown back,dappled beige belly,C,similar-looking genders,brown billcol,yellowish-grey legcol,early migration arrival,late migration leaving,avg egg layage,F incub,F ccare,,long-billed,,,wading-bird,,average BMI,average-winged,charadrii,,,,,,,,lives in forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,eats larvae,,,,,,,,eats snails,,,,eats worms
metsäviklo,scolopacidae,short,avg AR,small wload,brown back,white belly,C,similar-looking genders,black billcol,greenish-grey legcol,early migration arrival,early migration leaving,avg egg layage,both incub,M ccare,,long-billed,,long-legs,wading-bird,,skinny,average-winged,charadrii,,,,,,,,lives in forests,,,,,,,lives in ponds,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
liro,scolopacidae,short,large AR,small wload,dappled brown back,white belly,C,similar-looking genders,black billcol,greenish-yellow legcol,average migration arrival,early migration leaving,avg egg layage,both incub,M ccare,,long-billed,,long-legs,wading-bird,,skinny,average-winged,charadrii,,,,,,,,,,,lives in marshland,,,,,,,,,,,lives in wetlands,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,,,,,
karikukko,scolopacidae,short,large AR,avg wload,black-brown back,white belly,C,similar-looking genders,black billcol,orange legcol,average migration arrival,early migration leaving,avg egg layage,both incub,M ccare,,,,,wading-bird,,average BMI,long-winged,charadrii,,,lives in archipelago,,,,,,lives in islets,,,,,,,,,,,,,,,,,,,,eats eggs,,,,,,,,eats invertebrates,,,,,,,,,,,,,
suosirri,scolopacidae,short,avg AR,small wload,dappled brown back,black-white belly,C,similar-looking genders,black billcol,black legcol,average migration arrival,average migration leaving,avg egg layage,both incub,both ccare,,long-billed,,,wading-bird,,skinny,average-winged,charadrii,,,,lives in coastal-meadows,,,,,,,,,,,,,,,,,,lives in wetlands,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,,,,,
