species	group	length	AR	wload	back	belly	ftype	sim	billcol	legcol	arrives	leaves	eggs	incub	ccare	diver	long-billed	webbed-feet	long-legs	wading-bird	plunge-dives	BMI	WSI	family	 forest-edges	 harbours	archipelago	coastal-meadows	fells	fields	forest-edges	forests	islets	lakes	marshland	meadows	nutrient-rich-lakes	pastures	ponds	reedbeds	sea-bays	sea-coast	shores	shrub-tundra	streams	wetlands	algae	berries	birds	carrion	chicks	clams	eggs	fish	frogs	garbage	grain	grass	hares	insects	invertebrates	larvae	lizards	molluscs	plants	rodents	seeds	shellfish	small-rodents	snails	snakes	squirrels	vertebrae	worms
naurulokki	laridae		large_AR	small_wload	light-grey_back	white_belly	B	similar-looking_genders	red_billcol	red_legcol	early_migration_arrival	early_migration_leaving	few_eggs	both_incub	both_ccare			webbed-feet			plunge-dives	skinny	long-winged	lari										habitat_lakes							habitat_sea-bays													eats_fish		eats_garbage					eats_invertebrates													
harmaalokki	laridae	long	large_AR		bluish-grey_back	white_belly	B	similar-looking_genders	yellow_billcol	reddish_legcol	early_migration_arrival	late_migration_leaving	few_eggs	both_incub	both_ccare			webbed-feet			plunge-dives		long-winged	lari										habitat_lakes	habitat_marshland							habitat_sea-coast									eats_chicks			eats_fish		eats_garbage	eats_grain																	
isolokki	laridae	long	large_AR		bluish-grey_back	white_belly	B	similar-looking_genders	yellow_billcol	reddish_legcol	early_migration_arrival	early_migration_leaving	few_eggs	both_incub	both_ccare			webbed-feet			plunge-dives	robust	long-winged	lari		habitat_-harbours																habitat_sea-coast								eats_carrion	eats_chicks		eats_eggs	eats_fish		eats_garbage																		
kalatiira	sternidae		large_AR	small_wload	grey_back	white_belly	B	similar-looking_genders	red_billcol	red_legcol	average_migration_arrival	average_migration_leaving	few_eggs	both_incub	both_ccare			webbed-feet			plunge-dives	skinny		lari			habitat_archipelago							habitat_lakes																				eats_fish																				
lapintiira	sternidae		large_AR	small_wload	grey_back	white_belly	B	similar-looking_genders	red_billcol	red_legcol	average_migration_arrival	early_migration_leaving	few_eggs	both_incub	both_ccare			webbed-feet			plunge-dives	skinny	long-winged	lari			habitat_archipelago							habitat_lakes	habitat_marshland																			eats_fish																				
suokukko	scolopacidae	short		small_wload	dappled-brown_back	white_belly	C	different-looking_genders	dark-brown_billcol	orange_legcol	average_migration_arrival	early_migration_leaving		F_incub	F_ccare				long-legs	wading-bird		skinny		charadrii											habitat_marshland											habitat_wetlands															eats_invertebrates						eats_seeds							
taivaanvuohi	scolopacidae	short	small_AR		dappled-brown_back	white_belly	C	similar-looking_genders	reddish-brown_billcol	greenish-grey_legcol	average_migration_arrival	average_migration_leaving		F_incub	F_ccare		long-billed			wading-bird		skinny	short-winged	charadrii				habitat_coastal-meadows							habitat_marshland																										eats_invertebrates													
lehtokurppa	scolopacidae		small_AR		dappled-brown_back	dappled-beige_belly	C	similar-looking_genders	brown_billcol	yellowish-grey_legcol	early_migration_arrival	late_migration_leaving		F_incub	F_ccare		long-billed			wading-bird				charadrii								habitat_forests																													eats_invertebrates	eats_larvae								eats_snails				eats_worms
metsäviklo	scolopacidae	short		small_wload	brown_back	white_belly	C	similar-looking_genders	black_billcol	greenish-grey_legcol	early_migration_arrival	early_migration_leaving		both_incub	M_ccare		long-billed		long-legs	wading-bird		skinny		charadrii								habitat_forests							habitat_ponds																						eats_invertebrates				eats_plants									
liro	scolopacidae	short	large_AR	small_wload	dappled-brown_back	white_belly	C	similar-looking_genders	black_billcol	greenish-yellow_legcol	average_migration_arrival	early_migration_leaving		both_incub	M_ccare		long-billed		long-legs	wading-bird		skinny		charadrii											habitat_marshland											habitat_wetlands															eats_invertebrates													
karikukko	scolopacidae	short	large_AR		black-brown_back	white_belly	C	similar-looking_genders	black_billcol	orange_legcol	average_migration_arrival	early_migration_leaving		both_incub	M_ccare					wading-bird			long-winged	charadrii			habitat_archipelago						habitat_islets																				eats_eggs								eats_invertebrates													
suosirri	scolopacidae	short		small_wload	dappled-brown_back	black-white_belly	C	similar-looking_genders	black_billcol	black_legcol	average_migration_arrival	average_migration_leaving		both_incub	both_ccare		long-billed			wading-bird		skinny		charadrii				habitat_coastal-meadows																		habitat_wetlands															eats_invertebrates													
pikkusirri	scolopacidae	short		small_wload	dappled-brown_back	white_belly	C	similar-looking_genders	black_billcol	black_legcol	late_migration_arrival	average_migration_leaving		both_incub	both_ccare					wading-bird		skinny		charadrii																			habitat_shores	habitat_shrub-tundra		habitat_wetlands															eats_invertebrates													
pikkutylli	charadriidae	short		small_wload	greyish-brown_back	white_belly	C	similar-looking_genders	black_billcol	brownish_legcol	average_migration_arrival	early_migration_leaving		both_incub	both_ccare					wading-bird		skinny	long-winged	charadrii																			habitat_shores																	eats_insects										eats_snails				
tylli	charadriidae	short	large_AR	small_wload	greyish-brown_back	white_belly	C	similar-looking_genders	orange_billcol	orange_legcol	early_migration_arrival	average_migration_leaving		both_incub	both_ccare					wading-bird		skinny	long-winged	charadrii																			habitat_shores																		eats_invertebrates									eats_snails				
